target_geographic_domain,learner,model_provenance,I28_OA,I28_G29_OA,Delta_OA_pp,I28_BA,I28_G29_BA,Delta_BA_pp
east_holdout_5km_buffer,RF,Frozen P04 Models (Trained on Opposite Geographic Partition),64.4092261904762,66.06125992063492,1.6520337301587205,65.76648006938666,73.03599429905535,7.269514229668687
east_holdout_5km_buffer,SVC,Frozen P04 Models (Trained on Opposite Geographic Partition),67.1029265873016,68.87574404761905,1.7728174603174551,65.77839351564083,73.84682334504743,8.068429829406597
north_holdout_5km_buffer,RF,Frozen P04 Models (Trained on Opposite Geographic Partition),70.15856481481482,72.88599537037038,2.727430555555557,65.58296377300746,71.4141356890407,5.831171916033242
north_holdout_5km_buffer,SVC,Frozen P04 Models (Trained on Opposite Geographic Partition),73.0769675925926,76.01099537037037,2.9340277777777715,64.00601388707378,72.52617720663777,8.520163319563991
south_holdout_5km_buffer,RF,Frozen P04 Models (Trained on Opposite Geographic Partition),51.29137731481481,53.830729166666664,2.5393518518518547,61.5633336272462,69.31290948631155,7.749575859065352
south_holdout_5km_buffer,SVC,Frozen P04 Models (Trained on Opposite Geographic Partition),47.125289351851855,49.68634259259259,2.5610532407407334,60.02927029944178,68.49266939708666,8.463399097644881
