learner,representation,cross_oa,intra_oa,transfer_gap_oa,cross_ba_block,intra_ba_block,transfer_gap_ba,cross_ba_pooled,intra_ba_pooled
RF,Full_Intensity_28,67.95920138888889,71.60416666666666,3.6449652777777715,63.07682686460305,67.07014396851932,3.9933171039162687,70.52961398549779,75.38825962332572
RF,Base8_Raw_g12,69.50868055555556,72.90625,3.397569444444443,69.6219929790589,72.67050052536605,3.0485075463071496,77.8002764539919,80.69105119530929
RF,F2_D12,69.74392361111113,72.953125,3.2092013888888715,69.88761826829361,72.65305322817719,2.765434959883578,78.36792723517996,80.9412307746787
SVC,Full_Intensity_28,66.22222222222223,70.22916666666666,4.006944444444429,64.02288908230385,68.34852371726453,4.325634634960679,69.7062208360844,75.00854007531986
SVC,Base8_Raw_g12,68.91753472222221,72.31510416666667,3.397569444444457,70.14575235599769,72.79898319079912,2.653230834801434,77.85489761072687,81.15328469423619
SVC,F2_D12,69.07986111111111,72.30208333333334,3.2222222222222285,70.2607892494592,73.25877994439298,2.9979906949337902,78.12682027248925,81.71643832967665
