holdout,buffer_km,seed,learner,representation,source_track,target_track,oa,ba
north_holdout_5km_buffer,5.0,29,RF,I28,t139,t37,70.20833333333333,56.768466580210294
north_holdout_5km_buffer,5.0,29,RF,I28,t139,t88,63.916666666666664,60.48277585489472
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t37,75.89583333333333,74.59448709814878
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t88,77.02083333333334,74.54520271813178
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t15,t139,77.02083333333334,71.69377130854878
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t15,72.375,72.34140730484053
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t88,73.29166666666667,77.2626724498046
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t37,t139,75.8125,74.27688112044027
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t15,70.91666666666666,68.45302620287868
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t37,69.47916666666667,68.19036142731508
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t88,t139,68.625,72.78129046710886
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t15,68.66666666666667,63.62194777066611
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t37,73.6875,63.401079129870894
north_holdout_5km_buffer,5.0,29,RF,I28_G29,t139,t88,67.70833333333334,65.25423336748308
north_holdout_5km_buffer,5.0,29,SVC,I28,t15,t37,74.70833333333333,64.16129826658079
north_holdout_5km_buffer,5.0,29,SVC,I28,t15,t88,74.58333333333333,68.8785224707115
north_holdout_5km_buffer,5.0,29,SVC,I28,t15,t139,78.3125,70.30023912220472
north_holdout_5km_buffer,5.0,29,SVC,I28,t37,t15,72.79166666666667,64.34855771401209
north_holdout_5km_buffer,5.0,29,SVC,I28,t37,t88,71.54166666666667,67.6454196523477
north_holdout_5km_buffer,5.0,29,SVC,I28,t37,t139,76.8125,70.828741096081
north_holdout_5km_buffer,5.0,29,SVC,I28,t88,t15,71.1875,60.21552372077066
north_holdout_5km_buffer,5.0,29,SVC,I28,t88,t37,69.85416666666666,59.58067497786141
north_holdout_5km_buffer,5.0,29,SVC,I28,t88,t139,72.27083333333333,68.02236895591717
north_holdout_5km_buffer,5.0,29,SVC,I28,t139,t15,70.20833333333333,54.262137707104365
north_holdout_5km_buffer,5.0,29,SVC,I28,t139,t37,72.875,51.858121120066315
north_holdout_5km_buffer,5.0,29,SVC,I28,t139,t88,67.79166666666666,55.156943673889735
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t37,78.10416666666666,75.10992303208013
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t88,78.375,76.18043287049254
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t15,t139,80.22916666666666,75.30987810664008
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t15,75.85416666666667,73.01714892263631
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t88,75.27083333333333,74.67716591996263
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t37,t139,78.27083333333333,76.71054610080496
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t15,73.70833333333333,68.57450011848181
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t37,72.79166666666667,67.63237877874812
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t88,t139,74.41666666666666,75.34977407908322
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t15,72.6875,62.48675549272379
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t37,76.52083333333334,61.20587030525898
north_holdout_5km_buffer,5.0,29,SVC,I28_G29,t139,t88,70.875,66.14579975062665
north_holdout_5km_buffer,5.0,43,RF,I28,t15,t37,73.85416666666667,67.4118249682352
north_holdout_5km_buffer,5.0,43,RF,I28,t15,t88,74.70833333333333,71.32094073525612
north_holdout_5km_buffer,5.0,43,RF,I28,t15,t139,77.1875,70.1760067500614
north_holdout_5km_buffer,5.0,43,RF,I28,t37,t15,69.70833333333334,70.15840871747764
north_holdout_5km_buffer,5.0,43,RF,I28,t37,t88,70.8125,71.98642249058474
north_holdout_5km_buffer,5.0,43,RF,I28,t37,t139,74.72916666666667,71.64871340598206
north_holdout_5km_buffer,5.0,43,RF,I28,t88,t15,69.20833333333334,62.88459738739321
