learner,contrast,delta_cross_oa_pp,delta_cross_ba_block_pp,delta_cross_ba_pooled_pp,transfer_gap_reduction_pp
RF,F2_D12 vs Full_Intensity_28,1.7847222222222427,6.810791403690558,7.838313249682173,0.43576388888889994
RF,Base8_Raw_g12 vs Full_Intensity_28,1.5494791666666714,6.545166114455853,7.270662468494109,0.2473958333333286
RF,F2_D12 vs Base8_Raw_g12 (Derivatives),0.23524305555557135,0.2656252892347055,0.567650781188064,0.18836805555557135
SVC,F2_D12 vs Full_Intensity_28,2.8576388888888857,6.237900167155345,8.420599436404856,0.7847222222222001
SVC,Base8_Raw_g12 vs Full_Intensity_28,2.695312499999986,6.122863273693838,8.148676774642468,0.6093749999999716
SVC,F2_D12 vs Base8_Raw_g12 (Derivatives),0.16232638888889994,0.11503689346150736,0.2719226617623889,0.17534722222222854
