learner,representation,source_track,seed,params,in_track_oa,cross_track_oa,in_track_ba,cross_track_ba,transfer_gap_oa,transfer_gap_ba
RF,I8,t15,17,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",73.61458333333331,70.40972222222223,67.01988422577516,64.1119566057303,3.204861111111086,2.907927620044859
RF,I8,t37,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",71.33333333333334,66.70833333333334,66.95031234867683,66.22957457369658,4.625,0.7207377749802504
RF,I8,t88,17,"{'max_features': 0.5, 'min_samples_leaf': 1}",70.35416666666666,68.12152777777779,68.04032447973452,62.30776832172981,2.2326388888888715,5.732556158004712
RF,I8,t139,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",72.64583333333333,67.13888888888887,68.63659664533964,60.95831185244206,5.506944444444457,7.678284792897578
RF,I28,t15,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.47916666666669,71.33680555555556,70.8158468001711,67.36366795807201,3.1423611111111285,3.4521788420990873
RF,I28,t37,17,"{'max_features': 'sqrt', 'min_samples_leaf': 5}",72.78125000000001,68.72222222222223,68.05051943318183,68.62106552583059,4.059027777777786,-0.5705460926487547
RF,I28,t88,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",72.35416666666667,69.68402777777777,69.98635662019505,63.93440711978832,2.6701388888889,6.051949500406735
RF,I28,t139,17,"{'max_features': 1.0, 'min_samples_leaf': 1}",73.21875000000001,68.3125,69.70755054981987,61.44502873633032,4.906250000000014,8.262521813489549
RF,I8_G9,t15,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.34375,72.2673611111111,77.6795362784388,72.84606377555396,3.0763888888889,4.833472502884845
RF,I8_G9,t37,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.44791666666666,70.53472222222223,75.44474974814774,74.66119138251696,2.9131944444444287,0.7835583656307819
RF,I8_G9,t88,17,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.36458333333333,69.83333333333334,75.68047109965731,71.20334291668424,3.531249999999986,4.477128182973075
RF,I8_G9,t139,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",73.90625,68.87152777777776,76.39970225330383,69.88328086938877,5.034722222222243,6.516421383915059
RF,F12,t15,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",75.19791666666667,72.46180555555556,77.21086601471202,73.05589594049447,2.7361111111111143,4.154970074217559
RF,F12,t37,17,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.63541666666666,70.64930555555556,75.73564709870648,74.4199177649155,2.9861111111111,1.3157293337909834
RF,F12,t88,17,"{'max_features': 0.5, 'min_samples_leaf': 1}",73.60416666666666,70.0,76.0246286168462,71.02598175563423,3.604166666666657,4.9986468612119666
RF,F12,t139,17,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",74.15625,69.31944444444444,76.34352067624725,70.49737605380132,4.836805555555557,5.846144622445934
RF,I28_G29,t15,17,"{'max_features': 0.5, 'min_samples_leaf': 1}",76.47916666666667,72.86458333333334,78.57371135311382,73.46597664252097,3.6145833333333286,5.107734710592851
